,0
603,1045642
604,838963
605,934220
606,1049561
607,378245
608,41475
609,2044846
610,1421574
611,395697
612,40953
613,1041718
614,897166
615,613621
616,981348
617,1045555
618,1334850
619,450184
620,1445176
621,161069
622,615809
623,395107
624,277555
625,957910
626,1115424
627,893520
628,933852
629,1045168
630,1291214
631,501867
632,1111734
633,499971
634,1221715
635,40882
636,980838
637,95943
638,474787
639,81319
640,1249218
641,573661
642,1412479
643,800882
644,1118194
645,573596
646,508645
647,521647
648,1445206
649,430442
650,208895
651,839075
652,1338531
653,521527
654,160954
655,1274273
656,161140
657,1034860
658,1338453
659,1046034
660,905040
661,839744
662,474233
663,1199541
664,1348096
665,464941
666,374714
667,1009014
668,81339
669,419043
670,1243146
671,26270
672,765098
673,4765839
674,401153
675,4853049
676,409027
677,765082
678,1115818
679,644717
680,79452
681,1047742
682,1363087
683,41628
684,842565
685,41633
686,1378872
687,980840
688,4667435
689,692526
690,258128
691,893928
692,466999
693,309394
694,1228407
695,63235
696,406153
697,450220
698,1046197
699,909664
700,893218
701,642419
702,492099
703,470408
704,4841224
705,968618
706,4505456
707,999471
708,1405778
709,469787
710,460572
711,419552
712,1158743
713,4559499
714,905032
715,40732
716,1113015
717,892585
718,407329
719,843870
720,993589
721,256530
722,259998
723,882280
724,843008
725,41551
726,817878
727,160983
728,564859
729,40866
730,1334856
731,40956
732,807496
733,1049526
734,844068
735,1189845
736,251991
737,45140
738,1219260
739,415097
740,325776
741,4400161
742,41543
743,1311031
744,765119
745,840918
746,84998
747,1388519
748,838533
749,595928
750,1207239
751,1176159
752,40903
753,447688
754,481434
755,893199
756,1045781
757,1242705
758,41553
759,803397
760,41602
761,943896
762,842710
763,1008216
764,843761
765,465091
766,502734
767,566743
768,436352
769,103737
770,705700
771,41649
772,1280515
773,818844
774,160898
775,1115749
776,41634
777,803831
778,1283727
779,4467988
780,280546
781,41312
782,1219139
783,909665
784,841340
785,1412230
786,41383
787,1138880
788,1399040
789,320031
790,252118
791,1007733
792,927822
793,480554
794,7649
795,1398909
796,4461169
797,394065
798,1285413
799,1219167
800,445129
801,1437864
802,7648
803,261203
804,4442819
805,84464
806,1399265
807,79756
808,933264
809,939638
810,733372
811,899500
812,430506
813,1325605
814,395684
815,161182
816,676363
817,855928
818,1108404
819,271976
820,974203
821,732778
822,688527
823,1103851
824,41548
825,40885
826,281769
827,652859
828,41465
829,416115
830,893259
831,1313593
832,308926
833,1390626
834,1112721
835,676393
836,705685
837,1161792
838,1125430
839,313107
840,957774
841,1228540
842,4463315
843,103339
844,713355
845,934182
846,1445243
847,41178
848,41594
849,712705
850,41241
851,161083
852,252027
853,77228
854,1044345
855,963379
856,724687
857,40806
858,934121
859,256502
860,439733
861,20872
862,40777
863,797710
864,1204221
865,41579
866,725105
867,647668
868,421056
869,2500772
870,1451291
871,1049653
872,1354892
873,271753
874,1330041
875,667974
876,745585
877,1274274
878,774073
879,1398964
880,893457
881,1402918
882,1214051
883,1008554
884,4533827
885,436235
886,208024
887,1412516
888,765106
889,471054
890,766851
891,745511
892,617240
893,1437854
894,86203
895,453284
896,277556
897,271700
898,490287
899,453281
900,4528801
901,391720
902,696464
903,41225
904,1103916
905,1044134
906,279023
907,419534
908,970908
909,911178
910,40994
911,892778
912,668169
913,1281930
914,470418
915,1392769
916,418255
917,840367
918,357085
919,41323
920,421360
921,79758
922,95651
923,431376
924,41656
925,472177
926,839018
927,2041328
928,575955
929,622656
930,1047305
931,14888
932,1198735
933,471460
934,810248
935,41257
936,40813
937,281148
938,40743
939,1331275
940,838726
941,661124
942,4533880
943,1291182
944,958530
945,453237
946,585359
947,1047906
948,1219003
949,841936
950,1124737
951,838962
952,178768
953,255356
954,395410
955,41276
956,840526
957,103471
958,468295
959,77396
960,596452
961,41177
962,4365812
963,1049514
964,276135
965,446114
966,688654
967,893962
968,1311544
969,1390625
970,79757
971,497677
972,1239326
973,696047
974,1291197
975,41561
976,252040
977,254977
978,271503
979,257768
980,7656
981,325790
982,4760844
983,94818
984,704920
985,4403000
986,93006
987,325465
988,893627
989,909698
990,414662
991,41611
992,838054
993,1251147
994,104985
995,1398895
996,422948
997,1261539
998,422777
999,647949
1000,1395840
1001,281305
1002,261011
1003,1215421
1004,1049775
1005,1398949
1006,1330039
1007,701760
1008,468244
1009,41368
1010,1046057
1011,1398896
1012,1142555
1013,41252
1014,1209752
1015,1398902
1016,1008664
1017,266950
1018,279230
1019,255213
1020,41319
1021,1100766
1022,395401
1023,41125
1024,104143
1025,466396
1026,474884
1027,669489
1028,994644
1029,629839
1030,1338239
1031,994653
1032,481576
1033,1199677
1034,161139
1035,409113
1036,1111646
1037,408965
1038,41267
1039,467492
1040,438250
1041,161075
1042,1178006
1043,446079
1044,279235
1045,453312
1046,400107
1047,4390405
1048,1162500
1049,4721726
1050,1355016
1051,432385
1052,493162
1053,579847
1054,734725
1055,1337697
1056,984366
1057,565282
1058,257773
1059,179288
1060,43147
1061,95216
1062,414930
1063,41340
1064,41608
1065,1101306
1066,1100572
1067,1163152
1068,968030
1069,427856
1070,784819
1071,397655
1072,1313587
1073,41629
1074,981110
1075,40741
1076,263978
1077,1045551
1078,636356
1079,276260
1080,279229
1081,507138
1082,41260
1083,759993
1084,905029
1085,254806
1086,4538489
1087,161130
1088,861608
1089,1338334
1090,679025
1091,425373
1092,491892
1093,532966
1094,840230
1095,1047033
1096,957504
1097,423018
1098,738363
1099,41083
1100,585407
1101,49345
1102,1044099
1103,406628
1104,977964
1105,437448
1106,1162915
1107,1252968
1108,40779
1109,1378904
1110,40965
1111,4798203
1112,255327
1113,999460
1114,499951
1115,842524
1116,842451
1117,924347
1118,419573
1119,1255117
1120,94729
1121,653689
1122,913060
1123,1117991
1124,893476
1125,402628
1126,470315
1127,1355075
1128,1187890
1129,573356
1130,1370471
1131,723104
1132,1117943
1133,1338469
1134,894214
1135,1254097
1136,809156
1137,1331521
1138,1398969
1139,160990
1140,450327
1141,1328483
1142,41074
1143,1039764
1144,40764
1145,993183
1146,1405868
1147,1320368
1148,41270
1149,208185
1150,257781
1151,1177999
1152,41305
1153,41166
1154,425960
1155,843313
1156,41094
1157,1007492
1158,219136
1159,1047421
1160,1402677
1161,252013
1162,40704
1163,4789591
1164,1311060
1165,398100
1166,1071373
1167,1338189
1168,1354084
1169,1333581
1170,497646
1171,1367866
1172,1162783
1173,1044316
1174,1272297
1175,742300
1176,271974
1177,447651
1178,457810
1179,471151
1180,94824
1181,653685
1182,41482
1183,400489
1184,953411
1185,81202
1186,468217
1187,880652
1188,397896
1189,194036
1190,1103244
1191,587505
1192,466350
1193,929513
1194,254808
1195,440052
1196,1398963
1197,41625
1198,84317
1199,258762
