,Город,Субъект федерации,Федеральный округ,Код субъекта РФ
207,Дудинка,Красноярский край,Сибирский,24
208,Енисейск,Красноярский край,Сибирский,24
209,Железногорск,Красноярский край,Сибирский,24
210,Заозерный,Красноярский край,Сибирский,24
211,Зеленогорск,Красноярский край,Сибирский,24
212,Игарка,Красноярский край,Сибирский,24
213,Иланский,Красноярский край,Сибирский,24
214,Канск,Красноярский край,Сибирский,24
215,Кодинск,Красноярский край,Сибирский,24
216,Красноярск,Красноярский край,Сибирский,24
217,Лесосибирск,Красноярский край,Сибирский,24
218,Минусинск,Красноярский край,Сибирский,24
219,Назарово,Красноярский край,Сибирский,24
220,Норильск,Красноярский край,Сибирский,24
221,Сосновоборск,Красноярский край,Сибирский,24
222,Ужур,Красноярский край,Сибирский,24
223,Уяр,Красноярский край,Сибирский,24
224,Шарыпово,Красноярский край,Сибирский,24
225,Арсеньев,Приморский край,Дальневосточный,25
226,Артем,Приморский край,Дальневосточный,25
227,Большой Камень,Приморский край,Дальневосточный,25
228,Владивосток,Приморский край,Дальневосточный,25
229,Дальнегорск,Приморский край,Дальневосточный,25
230,Дальнереченск,Приморский край,Дальневосточный,25
231,Лесозаводск,Приморский край,Дальневосточный,25
232,Находка,Приморский край,Дальневосточный,25
233,Партизанск,Приморский край,Дальневосточный,25
234,Спасск-Дальний,Приморский край,Дальневосточный,25
235,Уссурийск,Приморский край,Дальневосточный,25
236,Фокино,Приморский край,Дальневосточный,25
237,Благодарный,Ставропольский край,Северо-Кавказский,26
238,Буденновск,Ставропольский край,Северо-Кавказский,26
239,Георгиевск,Ставропольский край,Северо-Кавказский,26
240,Ессентуки,Ставропольский край,Северо-Кавказский,26
241,Железноводск,Ставропольский край,Северо-Кавказский,26
242,Зеленокумск,Ставропольский край,Северо-Кавказский,26
243,Изобильный,Ставропольский край,Северо-Кавказский,26
244,Ипатово,Ставропольский край,Северо-Кавказский,26
245,Кисловодск,Ставропольский край,Северо-Кавказский,26
246,Лермонтов,Ставропольский край,Северо-Кавказский,26
247,Минеральные Воды,Ставропольский край,Северо-Кавказский,26
248,Михайловск,Ставропольский край,Северо-Кавказский,26
249,Невинномысск,Ставропольский край,Северо-Кавказский,26
250,Нефтекумск,Ставропольский край,Северо-Кавказский,26
251,Новоалександровск,Ставропольский край,Северо-Кавказский,26
252,Новопавловск,Ставропольский край,Северо-Кавказский,26
253,Пятигорск,Ставропольский край,Северо-Кавказский,26
254,Светлоград,Ставропольский край,Северо-Кавказский,26
255,Ставрополь,Ставропольский край,Северо-Кавказский,26
256,Амурск,Хабаровский край,Дальневосточный,27
257,Бикин,Хабаровский край,Дальневосточный,27
258,Вяземский,Хабаровский край,Дальневосточный,27
259,Комсомольск-на-Амуре,Хабаровский край,Дальневосточный,27
260,Николаевск-на-Амуре,Хабаровский край,Дальневосточный,27
261,Советская Гавань,Хабаровский край,Дальневосточный,27
262,Хабаровск,Хабаровский край,Дальневосточный,27
263,Белогорск,Амурская область,Дальневосточный,28
264,Благовещенск,Амурская область,Дальневосточный,28
265,Завитинск,Амурская область,Дальневосточный,28
266,Зея,Амурская область,Дальневосточный,28
267,Райчихинск,Амурская область,Дальневосточный,28
268,Свободный,Амурская область,Дальневосточный,28
269,Сковородино,Амурская область,Дальневосточный,28
270,Тында,Амурская область,Дальневосточный,28
271,Шимановск,Амурская область,Дальневосточный,28
272,Архангельск,Архангельская область,Северо-Западный,29
273,Вельск,Архангельская область,Северо-Западный,29
274,Каргополь,Архангельская область,Северо-Западный,29
275,Коряжма,Архангельская область,Северо-Западный,29
276,Котлас,Архангельская область,Северо-Западный,29
277,Мезень,Архангельская область,Северо-Западный,29
278,Мирный,Архангельская область,Северо-Западный,29
279,Новодвинск,Архангельская область,Северо-Западный,29
280,Няндома,Архангельская область,Северо-Западный,29
281,Онега,Архангельская область,Северо-Западный,29
282,Северодвинск,Архангельская область,Северо-Западный,29
283,Сольвычегодск,Архангельская область,Северо-Западный,29
284,Шенкурск,Архангельская область,Северо-Западный,29
285,Астрахань,Астраханская область,Южный,30
286,Ахтубинск,Астраханская область,Южный,30
287,Ахтубинск-7,Астраханская область,Южный,30
288,Знаменск,Астраханская область,Южный,30
289,Камызяк,Астраханская область,Южный,30
290,Нариманов,Астраханская область,Южный,30
291,Харабали,Астраханская область,Южный,30
292,Алексеевка,Белгородская область,Центральный,31
293,Белгород,Белгородская область,Центральный,31
294,Бирюч,Белгородская область,Центральный,31
295,Валуйки,Белгородская область,Центральный,31
296,Грайворон,Белгородская область,Центральный,31
297,Губкин,Белгородская область,Центральный,31
298,Короча,Белгородская область,Центральный,31
299,Новый Оскол,Белгородская область,Центральный,31
300,Старый Оскол,Белгородская область,Центральный,31
301,Строитель,Белгородская область,Центральный,31
302,Шебекино,Белгородская область,Центральный,31
303,Брянск,Брянская область,Центральный,32
304,Дятьково,Брянская область,Центральный,32
305,Жуковка,Брянская область,Центральный,32
306,Злынка,Брянская область,Центральный,32
307,Карачев,Брянская область,Центральный,32
308,Клинцы,Брянская область,Центральный,32
309,Мглин,Брянская область,Центральный,32
310,Новозыбков,Брянская область,Центральный,32
311,Почеп,Брянская область,Центральный,32
312,Севск,Брянская область,Центральный,32
313,Сельцо,Брянская область,Центральный,32
314,Стародуб,Брянская область,Центральный,32
315,Сураж,Брянская область,Центральный,32
316,Трубчевск,Брянская область,Центральный,32
317,Унеча,Брянская область,Центральный,32
318,Фокино,Брянская область,Центральный,32
319,Александров,Владимирская область,Центральный,33
320,Владимир,Владимирская область,Центральный,33
321,Вязники,Владимирская область,Центральный,33
322,Гороховец,Владимирская область,Центральный,33
323,Гусь-Хрустальный,Владимирская область,Центральный,33
324,Камешково,Владимирская область,Центральный,33
325,Карабаново,Владимирская область,Центральный,33
326,Киржач,Владимирская область,Центральный,33
327,Ковров,Владимирская область,Центральный,33
328,Кольчугино,Владимирская область,Центральный,33
329,Костерево,Владимирская область,Центральный,33
330,Курлово,Владимирская область,Центральный,33
331,Лакинск,Владимирская область,Центральный,33
332,Меленки,Владимирская область,Центральный,33
333,Муром,Владимирская область,Центральный,33
334,Петушки,Владимирская область,Центральный,33
335,Покров,Владимирская область,Центральный,33
336,Радужный,Владимирская область,Центральный,33
337,Собинка,Владимирская область,Центральный,33
338,Струнино,Владимирская область,Центральный,33
339,Судогда,Владимирская область,Центральный,33
340,Суздаль,Владимирская область,Центральный,33
341,Юрьев-Польский,Владимирская область,Центральный,33
342,Волгоград,Волгоградская область,Южный,34
343,Волжский,Волгоградская область,Южный,34
344,Дубовка,Волгоградская область,Южный,34
345,Жирновск,Волгоградская область,Южный,34
346,Калач-на-Дону,Волгоградская область,Южный,34
347,Камышин,Волгоградская область,Южный,34
348,Котельниково,Волгоградская область,Южный,34
349,Котово,Волгоградская область,Южный,34
350,Краснослободск,Волгоградская область,Южный,34
351,Ленинск,Волгоградская область,Южный,34
352,Михайловка,Волгоградская область,Южный,34
353,Николаевск,Волгоградская область,Южный,34
354,Новоаннинский,Волгоградская область,Южный,34
355,Палласовка,Волгоградская область,Южный,34
356,Петров Вал,Волгоградская область,Южный,34
357,Серафимович,Волгоградская область,Южный,34
358,Суровикино,Волгоградская область,Южный,34
359,Урюпинск,Волгоградская область,Южный,34
360,Фролово,Волгоградская область,Южный,34
361,Бабаево,Вологодская область,Северо-Западный,35
362,Белозерск,Вологодская область,Северо-Западный,35
363,Великий Устюг,Вологодская область,Северо-Западный,35
364,Вологда,Вологодская область,Северо-Западный,35
365,Вытегра,Вологодская область,Северо-Западный,35
366,Грязовец,Вологодская область,Северо-Западный,35
367,Кадников,Вологодская область,Северо-Западный,35
368,Кириллов,Вологодская область,Северо-Западный,35
369,Красавино,Вологодская область,Северо-Западный,35
370,Никольск,Вологодская область,Северо-Западный,35
371,Сокол,Вологодская область,Северо-Западный,35
372,Тотьма,Вологодская область,Северо-Западный,35
373,Устюжна,Вологодская область,Северо-Западный,35
374,Харовск,Вологодская область,Северо-Западный,35
375,Череповец,Вологодская область,Северо-Западный,35
376,Бобров,Воронежская область,Центральный,36
377,Богучар,Воронежская область,Центральный,36
378,Борисоглебск,Воронежская область,Центральный,36
379,Бутурлиновка,Воронежская область,Центральный,36
380,Воронеж,Воронежская область,Центральный,36
381,Воронеж-45,Воронежская область,Центральный,36
382,Калач,Воронежская область,Центральный,36
383,Лиски,Воронежская область,Центральный,36
384,Нововоронеж,Воронежская область,Центральный,36
385,Новохоперск,Воронежская область,Центральный,36
386,Острогожск,Воронежская область,Центральный,36
387,Павловск,Воронежская область,Центральный,36
388,Поворино,Воронежская область,Центральный,36
389,Россошь,Воронежская область,Центральный,36
390,Семилуки,Воронежская область,Центральный,36
391,Эртиль,Воронежская область,Центральный,36
392,Вичуга,Ивановская область,Центральный,37
393,Гаврилов Посад,Ивановская область,Центральный,37
394,Заволжск,Ивановская область,Центральный,37
395,Иваново,Ивановская область,Центральный,37
396,Кинешма,Ивановская область,Центральный,37
397,Комсомольск,Ивановская область,Центральный,37
398,Кохма,Ивановская область,Центральный,37
399,Наволоки,Ивановская область,Центральный,37
400,Плес,Ивановская область,Центральный,37
401,Приволжск,Ивановская область,Центральный,37
402,Пучеж,Ивановская область,Центральный,37
403,Родники,Ивановская область,Центральный,37
404,Тейково,Ивановская область,Центральный,37
405,Фурманов,Ивановская область,Центральный,37
406,Шуя,Ивановская область,Центральный,37
407,Южа,Ивановская область,Центральный,37
408,Юрьевец,Ивановская область,Центральный,37
409,Алзамай,Иркутская область,Сибирский,38
410,Ангарск,Иркутская область,Сибирский,38
411,Байкальск,Иркутская область,Сибирский,38
412,Бирюсинск,Иркутская область,Сибирский,38
413,Бодайбо,Иркутская область,Сибирский,38
414,Братск,Иркутская область,Сибирский,38
415,Вихоревка,Иркутская область,Сибирский,38
416,Железногорск-Илимский,Иркутская область,Сибирский,38
417,Зима,Иркутская область,Сибирский,38
418,Иркутск,Иркутская область,Сибирский,38
419,Иркутск-45,Иркутская область,Сибирский,38
420,Киренск,Иркутская область,Сибирский,38
421,Нижнеудинск,Иркутская область,Сибирский,38
422,Саянск,Иркутская область,Сибирский,38
423,Свирск,Иркутская область,Сибирский,38
424,Слюдянка,Иркутская область,Сибирский,38
425,Тайшет,Иркутская область,Сибирский,38
426,Тулун,Иркутская область,Сибирский,38
427,Усолье-Сибирское,Иркутская область,Сибирский,38
428,Усть-Илимск,Иркутская область,Сибирский,38
429,Усть-Кут,Иркутская область,Сибирский,38
430,Черемхово,Иркутская область,Сибирский,38
431,Шелехов,Иркутская область,Сибирский,38
432,Багратионовск,Калининградская область,Северо-Западный,39
433,Балтийск,Калининградская область,Северо-Западный,39
434,Гвардейск,Калининградская область,Северо-Западный,39
435,Гурьевск,Калининградская область,Северо-Западный,39
436,Гусев,Калининградская область,Северо-Западный,39
437,Зеленоградск,Калининградская область,Северо-Западный,39
438,Калининград,Калининградская область,Северо-Западный,39
439,Краснознаменск,Калининградская область,Северо-Западный,39
440,Ладушкин,Калининградская область,Северо-Западный,39
441,Мамоново,Калининградская область,Северо-Западный,39
442,Неман,Калининградская область,Северо-Западный,39
443,Нестеров,Калининградская область,Северо-Западный,39
444,Озерск,Калининградская область,Северо-Западный,39
445,Пионерский,Калининградская область,Северо-Западный,39
446,Полесск,Калининградская область,Северо-Западный,39
447,Правдинск,Калининградская область,Северо-Западный,39
448,Приморск,Калининградская область,Северо-Западный,39
449,Светлогорск,Калининградская область,Северо-Западный,39
450,Светлый,Калининградская область,Северо-Западный,39
451,Славск,Калининградская область,Северо-Западный,39
452,Советск,Калининградская область,Северо-Западный,39
453,Черняховск,Калининградская область,Северо-Западный,39
454,Балабаново,Калужская область,Центральный,40
455,Белоусово,Калужская область,Центральный,40
456,Боровск,Калужская область,Центральный,40
457,Боровск-1,Калужская область,Центральный,40
458,Ермолино,Калужская область,Центральный,40
459,Жиздра,Калужская область,Центральный,40
460,Жуков,Калужская область,Центральный,40
461,Калуга,Калужская область,Центральный,40
462,Киров,Калужская область,Центральный,40
463,Козельск,Калужская область,Центральный,40
464,Кондрово,Калужская область,Центральный,40
465,Кременки,Калужская область,Центральный,40
466,Людиново,Калужская область,Центральный,40
467,Малоярославец,Калужская область,Центральный,40
468,Медынь,Калужская область,Центральный,40
469,Мещовск,Калужская область,Центральный,40
470,Мосальск,Калужская область,Центральный,40
471,Обнинск,Калужская область,Центральный,40
472,Сосенский,Калужская область,Центральный,40
473,Спас-Деменск,Калужская область,Центральный,40
474,Сухиничи,Калужская область,Центральный,40
475,Таруса,Калужская область,Центральный,40
476,Юхнов,Калужская область,Центральный,40
477,Юхнов-1,Калужская область,Центральный,40
478,Юхнов-2,Калужская область,Центральный,40
479,Вилючинск,Камчатский край,Дальневосточный,41
480,Елизово,Камчатский край,Дальневосточный,41
481,Петропавловск-Камчатский,Камчатский край,Дальневосточный,41
482,Анжеро-Судженск,Кемеровская область,Сибирский,42
483,Белово,Кемеровская область,Сибирский,42
484,Березовский,Кемеровская область,Сибирский,42
485,Гурьевск,Кемеровская область,Сибирский,42
486,Калтан,Кемеровская область,Сибирский,42
487,Кемерово,Кемеровская область,Сибирский,42
488,Киселевск,Кемеровская область,Сибирский,42
489,Ленинск-Кузнецкий,Кемеровская область,Сибирский,42
490,Мариинск,Кемеровская область,Сибирский,42
491,Междуреченск,Кемеровская область,Сибирский,42
492,Мыски,Кемеровская область,Сибирский,42
493,Новокузнецк,Кемеровская область,Сибирский,42
494,Осинники,Кемеровская область,Сибирский,42
495,Полысаево,Кемеровская область,Сибирский,42
496,Прокопьевск,Кемеровская область,Сибирский,42
497,Салаир,Кемеровская область,Сибирский,42
498,Тайга,Кемеровская область,Сибирский,42
499,Таштагол,Кемеровская область,Сибирский,42
500,Топки,Кемеровская область,Сибирский,42
501,Юрга,Кемеровская область,Сибирский,42
502,Белая Холуница,Кировская область,Приволжский,43
503,Вятские Поляны,Кировская область,Приволжский,43
504,Зуевка,Кировская область,Приволжский,43
505,Киров,Кировская область,Приволжский,43
506,Кирово-Чепецк,Кировская область,Приволжский,43
507,Кирс,Кировская область,Приволжский,43
508,Котельнич,Кировская область,Приволжский,43
509,Луза,Кировская область,Приволжский,43
510,Малмыж,Кировская область,Приволжский,43
511,Мураши,Кировская область,Приволжский,43
512,Нолинск,Кировская область,Приволжский,43
513,Омутнинск,Кировская область,Приволжский,43
514,Орлов,Кировская область,Приволжский,43
515,Слободской,Кировская область,Приволжский,43
516,Советск,Кировская область,Приволжский,43
517,Сосновка,Кировская область,Приволжский,43
518,Уржум,Кировская область,Приволжский,43
519,Яранск,Кировская область,Приволжский,43
520,Буй,Костромская область,Центральный,44
521,Волгореченск,Костромская область,Центральный,44
522,Галич,Костромская область,Центральный,44
523,Кологрив,Костромская область,Центральный,44
524,Кострома,Костромская область,Центральный,44
525,Макарьев,Костромская область,Центральный,44
526,Мантурово,Костромская область,Центральный,44
527,Нерехта,Костромская область,Центральный,44
528,Нея,Костромская область,Центральный,44
